task=human_or_worm model=ph folds=5 epochs=30 head_batch=512 feat_batch=128 lr=0.001 device=mps smoke=False
paper Table 1 (full fine-tune): 0.973 ± 0.001
  (we are running a frozen-backbone linear probe — expect lower numbers)
loaded 100,000 sequences, seq_len=200
pretokenized in 4.1s, ids shape=(100000, 201)
loading kuleshov-group/caduceus-ph_seqlen-1k_d_model-118_n_layer-4_lr-8e-3...
[human_or_worm PH fold 1/5] epoch 17/30  train_loss=0.5445  val_loss=0.5422  val_acc=0.7547  (0.2s)
[human_or_worm PH fold 1/5] epoch 18/30  train_loss=0.5414  val_loss=0.5392  val_acc=0.7604  (0.2s)
[human_or_worm PH fold 1/5] epoch 19/30  train_loss=0.5387  val_loss=0.5367  val_acc=0.7632  (0.2s)
[human_or_worm PH fold 1/5] epoch 20/30  train_loss=0.5364  val_loss=0.5346  val_acc=0.7630  (0.2s)
[human_or_worm PH fold 1/5] epoch 21/30  train_loss=0.5342  val_loss=0.5327  val_acc=0.7641  (0.2s)
[human_or_worm PH fold 1/5] epoch 22/30  train_loss=0.5324  val_loss=0.5309  val_acc=0.7675  (0.2s)
[human_or_worm PH fold 1/5] epoch 23/30  train_loss=0.5308  val_loss=0.5295  val_acc=0.7692  (0.2s)
[human_or_worm PH fold 1/5] epoch 24/30  train_loss=0.5294  val_loss=0.5282  val_acc=0.7711  (0.2s)
[human_or_worm PH fold 1/5] epoch 25/30  train_loss=0.5283  val_loss=0.5272  val_acc=0.7709  (0.2s)
[human_or_worm PH fold 1/5] epoch 26/30  train_loss=0.5273  val_loss=0.5263  val_acc=0.7712  (0.2s)
[human_or_worm PH fold 1/5] epoch 27/30  train_loss=0.5264  val_loss=0.5254  val_acc=0.7728  (0.2s)
[human_or_worm PH fold 1/5] epoch 28/30  train_loss=0.5256  val_loss=0.5247  val_acc=0.7736  (0.2s)
[human_or_worm PH fold 1/5] epoch 29/30  train_loss=0.5249  val_loss=0.5241  val_acc=0.7742  (0.2s)
[human_or_worm PH fold 1/5] epoch 30/30  train_loss=0.5243  val_loss=0.5235  val_acc=0.7748  (0.2s)
[human_or_worm PH fold 2/5] epoch 1/30  train_loss=0.6779  val_loss=0.6610  val_acc=0.6347  (0.2s)
[human_or_worm PH fold 2/5] epoch 2/30  train_loss=0.6490  val_loss=0.6422  val_acc=0.6415  (0.2s)
[human_or_worm PH fold 2/5] epoch 3/30  train_loss=0.6336  val_loss=0.6299  val_acc=0.6525  (0.2s)
[human_or_worm PH fold 2/5] epoch 4/30  train_loss=0.6220  val_loss=0.6193  val_acc=0.6642  (0.2s)
[human_or_worm PH fold 2/5] epoch 5/30  train_loss=0.6118  val_loss=0.6095  val_acc=0.6767  (0.2s)
[human_or_worm PH fold 2/5] epoch 6/30  train_loss=0.6025  val_loss=0.6008  val_acc=0.6878  (0.2s)
[human_or_worm PH fold 2/5] epoch 7/30  train_loss=0.5939  val_loss=0.5923  val_acc=0.6986  (0.2s)
